Match,Optimal_moves,Sub_optimal_moves,win,Number_turns
Game810,23,14,1,73
Game811,10,15,1,49
Game812,19,35,1,107
Game813,15,14,1,57
Game814,18,14,1,63
Game815,21,11,1,63
Game816,16,5,1,41
Game817,24,13,1,73
Game818,40,13,1,105
Game819,14,5,1,37
Game820,28,14,1,83
Game821,9,6,1,29
Game822,17,14,1,61
Game823,8,10,1,35
Game824,18,10,1,55
Game825,28,27,1,109
Game826,15,11,1,51
Game827,20,6,1,52
Game828,13,13,1,51
Game829,10,11,1,41
Game830,15,17,1,63
Game831,9,11,1,39
Game832,16,10,1,51
Game833,23,15,1,75
Game834,14,8,1,43
Game835,25,17,1,83
Game836,13,8,1,41
Game837,21,13,1,67
Game838,20,11,1,61
Game839,15,12,1,53
Game840,11,9,1,39
Game841,17,10,1,53
Game842,12,6,1,35
Game843,27,13,1,79
Game844,15,11,1,51
Game845,14,13,1,53
Game846,40,16,1,111
Game847,20,8,1,55
Game848,15,6,1,41
Game849,29,16,1,89
Game850,19,9,1,56
Game851,10,11,1,42
Game852,25,11,1,72
Game853,51,25,1,152
Game854,31,21,1,104
Game855,11,5,1,32
Game856,10,16,1,52
Game857,11,8,1,38
Game858,13,8,1,42
Game859,27,15,1,84
Game860,17,21,1,76
Game861,19,16,1,71
Game862,16,8,1,48
Game863,18,16,1,68
Game864,17,8,1,50
Game865,17,5,1,44
Game866,14,11,1,50
Game867,23,22,1,90
Game868,10,6,1,32
Game869,16,16,1,64
Game870,14,13,1,54
Game871,20,10,1,60
Game872,12,6,1,36
Game873,15,10,1,50
Game874,13,10,1,46
Game875,10,10,1,40
Game876,15,10,1,50
Game877,28,22,1,100
Game878,21,17,1,76
Game879,18,17,1,70
Game880,9,6,1,30
Game881,42,21,1,126
Game882,17,11,1,56
Game883,16,10,1,52
Game884,15,6,1,42
Game885,13,9,1,44
Game886,12,16,1,56
Game887,11,7,1,36
Game888,40,19,1,118
Game889,17,16,1,66
Game890,21,5,1,53
Game891,26,21,1,94
Game892,12,8,1,40
Game893,21,18,1,78
Game894,24,25,1,98
Game895,13,14,1,54
Game896,18,11,1,58
Game897,21,10,1,62
Game898,19,9,1,56
Game899,12,12,1,48
